일진전기(주)	NNG
일진홀딩스(주)	NNG
자화전자(주)	NNG
조광피혁(주)	NNG
전방(주)	NNG
제이더블유생명과학(주)	NNG
제이더블유중외제약(주)	NNG
제이더블유홀딩스(주)	NNG
제이준코스메틱(주)	NNG
제일연마공업(주)	NNG
제일파마홀딩스(주)	NNG
조광페인트(주)	NNG
KG스틸(주)	NNG
남해화학(주)	NNG
(주)에이블씨엔씨	NNG
(주)빙그레	NNG
(주)셀트리온	NNG
(주)수산인더스트리	NNG
(주)수산중공업	NNG
(주)시디즈	NNG
(주)신도리코	NNG
(주)신성이엔지2	NNG
(주)신세계	NNG
(주)신세계아이앤씨	NNG
(주)신세계인터내셔날	NNG
(주)신세계푸드	NNG
(주)신영와코루	NNG
(주)신원	NNG
(주)신풍	NNG
(주)신화다이나믹스	NNG
(주)신흥	NNG
(주)쌍방울	NNG
(주)쎌마테라퓨틱스	NNG
(주)씨아이테크	NNG
(주)씨티알모빌리티	NNG
(주)세진중공업	NNG
(주)세이브존아이앤씨	NNG
(주)세우글로벌	NNG
(주)삼천리	NNG
(주)사조오양	NNG
(주)삼성출판사	NNG
(주)삼양사	NNG
(주)삼양홀딩스	NNG
(주)삼영	NNG
(주)삼원강재	NNG
(주)삼익악기	NNG
(주)삼일씨엔에스	NNG
(주)서연	NNG
(주)세아홀딩스	NNG
(주)서원	NNG
(주)서흥	NNG
(주)선앤엘	NNG
(주)선진	NNG
(주)성안	NNG
(주)세아베스틸지주	NNG
(주)세아제강지주	NNG
(주)세아특수강	NNG
(주)아모레퍼시픽	NNG
(주)아모레퍼시픽그룹	NNG
(주)아센디오	NNG
(주)엘지화학	NNG
(주)엘에프	NNG
(주)엘엑스세미콘	NNG
(주)엘엑스인터내셔널	NNG
(주)엘엑스하우시스	NNG
(주)엘지	NNG
(주)엘지생활건강	NNG
(주)엘지유플러스	NNG
(주)엘지헬로비전	NNG
(주)엠씨넥스	NNG
(주)엘에스	NNG
(주)영원무역	NNG
(주)영원무역홀딩스	NNG
(주)영풍	NNG
(주)영흥	NNG
(주)예스코홀딩스	NNG
(주)오뚜기	NNG
(주)오리온홀딩스	NNG
(주)와이지플러스	NNG
(주)엘에스네트웍스	NNG
(주)엔케이	NNG
(주)아이마켓코리아	NNG
(주)에스지글로벌	NNG
(주)아이에이치큐	NNG
(주)알루코	NNG
(주)에넥스	NNG
(주)에스비에스	NNG
(주)에스엠벡셀	NNG
(주)에스원	NNG
(주)에스제이엠	NNG
(주)에스제이엠홀딩스	NNG
(주)에스지세계물산	NNG
(주)엔아이스틸	NNG
(주)에스피씨삼립	NNG
AJ네트웍스(주)	NNG
(주)에이엔피	NNG
(주)에이프로젠	NNG
(주)에이프로젠바이오로직스	NNG
(주)에이플러스에셋어드바이저	NNG
(주)에프앤에프홀딩스	NNG
(주)엔씨소프트	NNG
(주)사조대림	NNG
(주)비지에프	NNG
(주)용평리조트	NNG
(주)비와이씨	NNG
(주)나이스홀딩스	NNG
(주)남선알미늄	NNG
(주)남성	NNG
(주)넥센	NNG
(주)노루페인트	NNG
(주)노루홀딩스	NNG
(주)녹십자 	NNG
(주)녹십자홀딩스	NNG
(주)농심	NNG
(주)농심홀딩스	NNG
(주)다우기술	NNG
(주)다이나믹디자인	NNG
(주)대교	NNG
(주)대구백화점	NNG
(주)대덕	NNG
(주)대동	NNG
(주)대양금속	NNG
(주)대우건설	NNG
(주)대웅	NNG
(주)까뮤이앤씨	NNG
(주)금호에이치티	NNG
(주)금양	NNG
(주)갤럭시아에스엠	NNG
(주)MH에탄올	NNG
(주)SH에너지화학	NNG
(주)SIMPAC	NNG
(주)SNT에너지	NNG
(주)SNT홀딩스 	NNG
(주)STX	NNG
(주)TCC스틸	NNG
(주)강원랜드	NNG
(주)경농	NNG
(주)국보	NNG
(주)경동나비엔	NNG
(주)경동인베스트	NNG
(주)경방	NNG
